rev,vy,first_swing,MU_GROUND,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,SOLE_HALF_W
v2_sole60,+0.045,1,0.9,40,95,0.476,0.003,5.1,1.00,58,22,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.045,0,0.9,40,95,0.476,0.003,5.1,1.00,59,54,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.045,1,0.9,40,101,0.476,0.003,5.1,1.00,60,48,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.050,0,0.9,40,100,0.476,0.003,5.1,1.00,59,24,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.050,1,0.9,40,95,0.476,0.003,5.1,1.00,58,35,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.050,0,0.9,40,95,0.476,0.003,5.1,1.00,58,48,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.050,1,0.9,40,100,0.476,0.003,5.1,1.00,58,37,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.055,0,0.9,40,100,0.476,0.003,5.1,1.00,58,30,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.055,1,0.9,40,95,0.476,0.003,5.1,1.00,59,22,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.055,0,0.9,40,95,0.476,0.003,5.1,1.00,58,32,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.055,1,0.9,40,100,0.476,0.003,5.1,1.00,58,36,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.065,0,0.9,40,100,0.476,0.003,5.1,1.00,61,36,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.065,0,0.9,40,96,0.476,0.003,5.1,1.00,60,42,2,2.4,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.065,1,0.9,40,96,0.476,0.006,8.7,1.00,62,43,4,6.6,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.065,1,0.9,40,100,0.476,0.005,5.1,1.00,60,41,0,0.0,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.091,0,0.9,9,191,0.433,0.530,174.4,1.01,200,45,97,83.1,6.710,6.630,FELL,sole60 mu0.9,0.030
v2_sole60,+0.073,0,0.9,40,99,0.476,0.011,20.9,1.00,72,35,181,21.7,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.073,1,0.9,40,96,0.476,0.012,19.1,1.00,69,39,112,17.7,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.073,0,0.9,29,93,0.426,0.548,259.5,1.01,177,44,323,81.9,17.520,6.630,FELL,sole60 mu0.9,0.030
v2_sole60,-0.073,1,0.9,40,99,0.476,0.010,21.3,1.00,70,45,177,30.4,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.091,0,0.9,40,99,0.476,0.006,6.7,1.00,84,43,305,17.4,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,+0.091,1,0.9,40,96,0.467,0.011,23.1,1.00,84,37,301,13.2,,6.630,SURVIVED,sole60 mu0.9,0.030
v2_sole60,-0.091,1,0.9,40,99,0.476,0.006,8.0,1.00,83,30,313,22.7,,6.630,SURVIVED,sole60 mu0.9,0.030
